Type,Category,Question,Best Answer,Correct Answers,Incorrect Answers
OpenBookQA,OpenBookQA,Nerves are used to feel what on the skin?,coldness.,coldness.,creativity.; stares.; emotions.
OpenBookQA,OpenBookQA,"Substances may be combined by the pouring of one into another, for example when?",adding grenadine to soda.,adding grenadine to soda.,filling up a tub.; putting a lemon in water.; putting food in a bowl.
OpenBookQA,OpenBookQA,Viewing stars is made easier by?,technology that collects electromagnetic radiation.,technology that collects electromagnetic radiation.,technology that uses electromagnetic induction.; technology that picks up sound in space.; technology that transforms kinetic energy.
OpenBookQA,OpenBookQA,Sugar may increase the sweetness of a dish such as in?,churros.,churros.,lasagna.; corn.; fettuccine.
OpenBookQA,OpenBookQA,A person could get in trouble for doing what in a protected environment?,hunting.,hunting.,volunteering.; studying the environment.; working.
OpenBookQA,OpenBookQA,"A winter storm is ravaging a city, so weather advisories are put out to the public. However, a man still need to get to work on time, so he takes his car on the highway. While driving, he discovers?",it is difficult to see.,it is difficult to see.,the roads are clear.; the car is very hot.; the streets are empty.
OpenBookQA,OpenBookQA,"The southern and northern hemisphere's seasons are opposite each other, so when the northern hemisphere is having it's longest day, it's the southern hemisphere's?",winter solstice.,winter solstice.,fall equinox.; summer solstice.; spring equinox.
OpenBookQA,OpenBookQA,What does photosynthesis require?,a daffodil to absorb rays of Sol.,a daffodil to absorb rays of Sol.,a torrential amount of rainfall.; a bee to pollinate the bud.; a tree to absorb argon.
OpenBookQA,OpenBookQA,which of these would disturb a standing body of water?,A and B above.,A and B above.,a boat setting sail.; an insect flying hundred feet above.; a rock tossed in.
OpenBookQA,OpenBookQA,There are twenty-four new seasons in?,six years.,six years.,four years.; five years.; two years.
OpenBookQA,OpenBookQA,"We are trying to use air as sources of energy because there is an infinite amount of it, same with water. These are two examples of?",Renewable resources.,Renewable resources.,Coal sources.; Fossil Fuels.; Limited resources.
OpenBookQA,OpenBookQA,Which is recyclable?,soda can.,soda can.,fiberglass.; Styrofoam food container.; motor oil.
OpenBookQA,OpenBookQA,"If two blocks have unequal mass, which will speed up the most with a common force applied?",The lighter.,The lighter.,neither move.; The heavier.; equal.
OpenBookQA,OpenBookQA,Sea turtles share space with?,sea weed.,sea weed.,geckos.; catfish.; river otters.
OpenBookQA,OpenBookQA,More sunlight will be absorbed by?,"a peony with wide, smooth leaves.","a peony with wide, smooth leaves.","a rose with tiny leaves.; a daisy with thin, short leaves.; a daffodil with curled leaves."
OpenBookQA,OpenBookQA,"Some fish species, when hunting, will lurk in the shallowest portions of water and actually leave the water in order to capture prey. These fish are able to hunt in this fashion after years of?",adapting to their needs.,adapting to their needs.,training in a school.; adapting to new music.; wishing for it to work.
OpenBookQA,OpenBookQA,"if a person had one of these, they could live permanently under water?",a gill for extracting gases.,a gill for extracting gases.,a very long nose.; two hands and two legs.; a very big mouth.
OpenBookQA,OpenBookQA,Storms lead to?,an uptick in local ponds water level.,an uptick in local ponds water level.,an increase in water temperature.; an uptick in local ponds fish supply.; an increase in issues from drought conditions.
OpenBookQA,OpenBookQA,What is the ultimate source of greeting cards?,forests.,forests.,deserts.; waterfalls.; canyons.
OpenBookQA,OpenBookQA,Which animal is known to have many learned behaviors?,sea park dolphins.,sea park dolphins.,saltwater crocodiles.; aquarium fish.; plains buffaloes.
OpenBookQA,OpenBookQA,The stars in the night sky make a yearly?,revolution.,revolution.,donation.; resolve.; restructuring.
OpenBookQA,OpenBookQA,A predator such as a hawk may kill prey by?,clutching in its talons.,clutching in its talons.,batting with a paw.; using a strong wing.; eating a rat's claw.
OpenBookQA,OpenBookQA,"What is it called when a cell converts oxygen and carbohydrates into carbon dioxide, water, and energy?",catabolic reactions.,catabolic reactions.,adaptation.; breathing.; food transformation.
OpenBookQA,OpenBookQA,A plant stem contains a system of tubes for transporting water and nutrients to?,itself.,itself.,the sun.; the hive mind.; its neighbors.
OpenBookQA,OpenBookQA,What is an example of a change in the Earth?,an expanse of water turning to forested land.,an expanse of water turning to forested land.,a duck living in the woods.; a forest growing larger.; a river flowing strongly.
OpenBookQA,OpenBookQA,"when it turns day and night on a planet, what cause this?","the world itself spins, causing it.","the world itself spins, causing it.",the sun goes to take a rest in a different place.; the moon causes this to happen.; the planet puts off the lights.
OpenBookQA,OpenBookQA,Environments which are forested are often green; what is an example of this?,a thriving jungle canopy.,a thriving jungle canopy.,"a dry, sandy desert.; a snowy icy glacier.; a cold, empty mountaintop."
OpenBookQA,OpenBookQA,Why might a person fall asleep after being lost in a forest on a freezing cold day?,energy levels decrease.,energy levels decrease.,energy levels increase.; They live there.; A big meal.
OpenBookQA,OpenBookQA,What do city-dwellers eat?,crops.,crops.,dirt.; rocks.; Ohio State.
OpenBookQA,OpenBookQA,What does a tuna have that causes it to swim faster than a seahorse?,Bigger fins.,Bigger fins.,Lower body temperature.; Bigger scales.; Thicker caudal fin.
OpenBookQA,OpenBookQA,Pollinators are attracted to?,strong aromas.,strong aromas.,mild smells.; strong personalities.; weak scents.
OpenBookQA,OpenBookQA,Leaves play an important role in photosynthesis by being?,a receptacle for solar energy.,a receptacle for solar energy.,a receptacle for oxygen.; a release point for carbon dioxide.; a go between for the exchange of information.
OpenBookQA,OpenBookQA,"A man wants to create a room that he can light up with the flick of a switch. To do this, he sends some electricity into a completed electrical circuit, through a conductor, which allows?",his plan to succeed.,his plan to succeed.,light from the sun to shine.; lights to be burned out.; sunlight to shine through bulbs.
OpenBookQA,OpenBookQA,The inventor of pasteurization also worked on?,vaccinations.,vaccinations.,telephones.; automobiles.; electricity.
OpenBookQA,OpenBookQA,Lemonade tastes like?,citrus.,citrus.,bananas.; apples.; strawberries.
OpenBookQA,OpenBookQA,"During seasonal changes, like from summer to fall, what is a common noted change?",the sun begins to set earlier.,the sun begins to set earlier.,evenings are much brighter.; new leaves begin to grow.; stars are seen more easily at night.
OpenBookQA,OpenBookQA,A wasp will use it's stinger?,if a person grabs the wasp.,if a person grabs the wasp.,if the wasp is flying about unimpeded.; if a person ignores the wasp.; if a wasp is hanging out in it's nest.
OpenBookQA,OpenBookQA,The basic outside of our planet is comprised of?,types of stone.,types of stone.,frozen green grass.; solid ice balls.; molten hot lava.
OpenBookQA,OpenBookQA,A bird would find nest making materials in a?,tree.,tree.,building.; pond.; cave.
OpenBookQA,OpenBookQA,Canyons are rock formations with cliffs that?,take a long time to produce.,take a long time to produce.,have sharks in the water.; are very narrow and shallow.; are billions of years old.
OpenBookQA,OpenBookQA,What is the best example of a live birth?,a koala delivering into her pouch.,a koala delivering into her pouch.,a fish laying a clutch.; a platypus warming an egg with its furry body until a baby is born.; a bird warming the eggs in her nest until they hatch.
OpenBookQA,OpenBookQA,Which of these would need the fewest hydrocarbon chains containing eight carbon atoms?,electric car.,electric car.,turbocharged car.; gasoline car.; antique car.
OpenBookQA,OpenBookQA,"Skunks are an animal which has a stink sack, which means that?",other creatures avoid it.,other creatures avoid it.,it is unable to smell.; it births live young.; it is a predator.
OpenBookQA,OpenBookQA,Evaporation is the reason that?,a rain puddle is suddenly gone.,a rain puddle is suddenly gone.,crime is on the rise in the cities.; the polar ice caps are spreading.; the Earth is turning into a dirt ball.
OpenBookQA,OpenBookQA,If farmers want larger chicken populations?,they should research methods that increase laying.,they should research methods that increase laying.,they should reduce the rooster population.; they should decrease the number of hens.; they should encourage predation.
OpenBookQA,OpenBookQA,"A factory is producing various items. If the factory wants to produce something that will itself produce little pollution, it could create?",windmills.,windmills.,trucks.; ships.; cars.
OpenBookQA,OpenBookQA,What source of power can be used up completely?,natural gas.,natural gas.,Water.; wind.; sunlight.
OpenBookQA,OpenBookQA,What might Lassie do to beat the heat?,Pant.,Pant.,Drink tea.; Sleep.; Eat ice.
OpenBookQA,OpenBookQA,"in science, what is a cause and effect guess called?",an academic hypothesis.,an academic hypothesis.,a final solution.; a wild guess.; a big problem.
OpenBookQA,OpenBookQA,Cycles of freezing and thawing water?,causes fissures in rocks to enlarge.,causes fissures in rocks to enlarge.,causes healing of clefts in rocks.; smaller rocks to fill in large cracks.; makes rocks more secure.
OpenBookQA,OpenBookQA,A device may locate the northern portion of a forest through?,Fe pulls.,Fe pulls.,series of attractions.; large robots.; metal conductors.
OpenBookQA,OpenBookQA,A sound that is made by an animal with two legs is?,cluck.,cluck.,oink.; meow.; moo.
OpenBookQA,OpenBookQA,do scars come naturally?,they are earned.,they are earned.,they just appear.; they are gifted.; they are bought.
OpenBookQA,OpenBookQA,Life sustaining substances are required for?,zebras.,zebras.,air.; plastic.; the sun.
OpenBookQA,OpenBookQA,"Creatures such as opossums and raccoons are scavengers, meaning that they get their food from various sources, wherever and however they can, even from trash cans. This can negatively impact the creature's health if?",the food is past its prime.,the food is past its prime.,the food is warm.; the food is yummy.; the food is fresh.
OpenBookQA,OpenBookQA,A few weeks after the month of December in the heart of Australia is often referred to as?,summer.,summer.,winter.; springtime.; Halloween.
OpenBookQA,OpenBookQA,What is an instance of carnivores only eating animals?,tyrannosaurus rex devouring a pterodactyl.,tyrannosaurus rex devouring a pterodactyl.,a mouse eating a cricket.; a dog devouring a piece of cheese.; a cat eating grass outdoors.
OpenBookQA,OpenBookQA,An example of conservation would be?,going green.,going green.,burning.; sinking.; burying.
OpenBookQA,OpenBookQA,What vitamins help heal bones?,vitamin D meals.,vitamin D meals.,vitamin k.; vitamin c.; human vitamins.
OpenBookQA,OpenBookQA,An example of an electric insulator is?,a brick wall.,a brick wall.,a circuit board.; a light bulb.; a wire.
OpenBookQA,OpenBookQA,Hitting the keys of a piano is like playing?,a lute.,a lute.,a broadcast.; a concert.; a recital.
OpenBookQA,OpenBookQA,"Seeds can be dispersed through all sorts of creative ways, such as?",a dog sneezes in a field and disrupts the air around plants.,a dog sneezes in a field and disrupts the air around plants.,a person orders flowers from a florist.; a man looks at a bed of flowers.; a man asks his dog if it wants some flowers.
OpenBookQA,OpenBookQA,At a meal one plate seems to be larger than the other plates.  That plate is?,the person sitting next to you's plate.,the person sitting next to you's plate.,plate in a kitchen cabinet.; plate on the kitchen counter.; a person at the other side of the table's plate.
OpenBookQA,OpenBookQA,This can be used to light up a light bulb?,biofuel.,biofuel.,grass.; dirt.; stones.
OpenBookQA,OpenBookQA,When did the pond have less heat energy?,when people skated on it.,when people skated on it.,when people sat by it.; when people fished in it.; when people swam in it.
OpenBookQA,OpenBookQA,"In the springtime, animals engage in ritual behavior such as?",creating bedding for young.,creating bedding for young.,picking flowers for mates.; hunting for new prey.; migrating to cold environments.
OpenBookQA,OpenBookQA,"Recently, a lot of people, en masse, were told that they should take an opportunity to cast an image of an object through a pinhole onto a screen, in order to best enjoy an activity. This was because?",avoiding looking directly at an eclipse is important.,avoiding looking directly at an eclipse is important.,scientists are lacking fun.; eclipses are best to look at directly.; science tells us eclipses are scary.
OpenBookQA,OpenBookQA,how can one alter plants without interacting directly with it?,change its current habitat.,change its current habitat.,do a rain dance.; all of these.; leave it as it is.
OpenBookQA,OpenBookQA,Sleet is made of?,a substance used to keep drinks cold.,a substance used to keep drinks cold.,snow and manmade materials.; small crystals of salt.; phosphates and other chemicals.
OpenBookQA,OpenBookQA,A thin beak is most useful to?,allow a bird to hunt for food in tight spaces.,allow a bird to hunt for food in tight spaces.,allow a bird to fly faster.; allow a bird to forage in trashcans for food.; allow a bird to hunt for food in wide spaces.
OpenBookQA,OpenBookQA,Bacteria?,can be beneficial and detrimental to an organism's health.,can be beneficial and detrimental to an organism's health.,is lacking in any benefits to an organism.; is unable to infect any organisms.; is always harmful to an organism.
OpenBookQA,OpenBookQA,in which of these environments would one ideally situate a farm?,over on the grassland.,over on the grassland.,in the middle of the desert.; none of these.; in the rocky mountains.
OpenBookQA,OpenBookQA,Telephones will transfer acoustics using what energy?,electron flow.,electron flow.,gamma radiation.; heat transfer.; light pulses.
OpenBookQA,OpenBookQA,An example of a flexible container?,Play dough.,Play dough.,Bricks.; Bones.; Carrots.
OpenBookQA,OpenBookQA,which one of these methods can a potential prey use to escape attack?,making sounds like a known larger animal.,making sounds like a known larger animal.,presenting itself to its predator.; none of these.; salting itself to be more palatable.
OpenBookQA,OpenBookQA,"okra has to have water, sun and what to grow?",Earth.,Earth.,planter.; music.; shade.
OpenBookQA,OpenBookQA,"A lake, pond, or stream can all be used to?",collect fluid from.,collect fluid from.,make extra food.; rain water down.; create new houses.
OpenBookQA,OpenBookQA,"On a particularly hot day, a young woman clicks on a fan in the room, and the blades of the fan begin to quietly rotate in a circular motion, which?",rustles the air around it.,rustles the air around it.,heats up the surrounding air.; pulls dust into a vacuum.; blasts cold air outdoors.
OpenBookQA,OpenBookQA,Windy means what is going at high speeds?,gales.,gales.,water.; cars.; dirt.
OpenBookQA,OpenBookQA,What is an example of weathering occurring over several years?,a stone becoming smoother.,a stone becoming smoother.,wood becoming rotten over time.; a cabin being shut down for the season.; a tree becoming taller.
OpenBookQA,OpenBookQA,"As the amount of fragrance of a flower increases, the better chances it has at?",reproducing.,reproducing.,growing.; dying.; looking pretty.
OpenBookQA,OpenBookQA,Food digestion in humans can be aided by?,microorganisms that have cell walls but lack organelles.,microorganisms that have cell walls but lack organelles.,hundreds of white blood cells.; amoebas in the blood supply.; carbon dioxide from the respiration process.
OpenBookQA,OpenBookQA,Which would a scavenger most likely eat?,run over deer.,run over deer.,a swimming fish.; a nesting bird.; a skulking hyena.
OpenBookQA,OpenBookQA,Efforts to preserve the ecosystem might lead national parks to?,ban fishing.,ban fishing.,encourage hunting.; promote logging.; encourage new species.
OpenBookQA,OpenBookQA,The thermal production of a stove is generically used for?,warming food.,warming food.,heating homes.; producing food.; cooling pets.
OpenBookQA,OpenBookQA,Which requires respiration to use energy?,skunk.,skunk.,solar collector.; car.; oil well.
OpenBookQA,OpenBookQA,When a insect looks like another type of entity what is it called?,facade.,facade.,six legs.; spider eggs.; birds of prey.
OpenBookQA,OpenBookQA,Nerves are used in order to sense which things?,the warmth and touch of a kiss on the cheek.,the warmth and touch of a kiss on the cheek.,the sound and sadness of a baby's cry.; the smell of dirty trash.; the warming feeling of being told you are loved.
OpenBookQA,OpenBookQA,The gravitational pull of the sun causes what phenomenon?,planetary revolution.,planetary revolution.,creation of moons.; creation of rings.; planetary cooling.
OpenBookQA,OpenBookQA,We looked at the arrow on the compass and then turned around and walked in the opposite direction.  We were walking?,south.,south.,east.; west.; north.
OpenBookQA,OpenBookQA,When blood passes thru the primary element of the respiratory system it's diffused with?,an element released by plants.,an element released by plants.,the first element on the periodic chart.; a compound released by the burning of fossil fuels.; a compound used by plants.
OpenBookQA,OpenBookQA,"When Gia cooked her no-bake cookies too long, she discovered they had become hard, (though un-burnt). what is the most likely reason?",The sugar had undergone crystallization.,The sugar had undergone crystallization.,It was so cold in the room if froze.; she used too many oats.; She used old sugar.
OpenBookQA,OpenBookQA,What happens when man moves into new environments?,native species loses home.,native species loses home.,native species go wild.; native species thrive more.; native species grow large.
OpenBookQA,OpenBookQA,An example of heat changing the state of matter could be?,jello becoming liquid when placed in a hot pan.,jello becoming liquid when placed in a hot pan.,water becoming warm when heated.; a bath being more comfortable when it is hot.; a pool receiving more visitors when warmed.
OpenBookQA,OpenBookQA,Animals require?,the environmental output of plants.,the environmental output of plants.,the help of people.; the same gas needed for photosynthesis.; a lack of natural resources.
OpenBookQA,OpenBookQA,What is an example of the appearance of stars seeming to move in relation to the horizon at night?,constellations may appear higher or lower in the sky depending on the hour.,constellations may appear higher or lower in the sky depending on the hour.,"constellations may appear to be upside down some nights.; depending on weather, constellations may be clearly visible at night.; some stars are unable to be seen on certain nights."
OpenBookQA,OpenBookQA,What month is in the season after spring in the northern hemisphere?,june.,june.,november.; march.; december.
OpenBookQA,OpenBookQA,A man wants to use a material in a project that will be nonrenewable. The man decides to use?,solo cups.,solo cups.,grass.; raindrops.; muddy water.
OpenBookQA,OpenBookQA,The fish reproduction technique supplies?,roe.,roe.,coral reefs.; chunk tuna.; fish sticks.
OpenBookQA,OpenBookQA,Water vapor cooling over night?,leaves behind wet foliage.,leaves behind wet foliage.,leaves dew on people.; forms black ice on bridges.; forms puddles on roads.
OpenBookQA,OpenBookQA,What do bees convert nectar into?,sweet stuff sold in grocery stores.,sweet stuff sold in grocery stores.,different types of corn syrup.; rather large rock formations.; bees of different sizes.
OpenBookQA,OpenBookQA,what happens when an animals' food intake increases?,the fat transfers into more pounds.,the fat transfers into more pounds.,it grows taller in size.; it jogs to burn energy.; it throws up the excess food.
OpenBookQA,OpenBookQA,What would a rabbit most likely eat?,rhododendron.,rhododendron.,squirrel.; squid.; mouse.
OpenBookQA,OpenBookQA,Decomposition occurs when a decomposer recycles nutrients from dead organisms back to the soil by eating them; what is an example of this?,worms devouring a corpse.,worms devouring a corpse.,flies laying eggs on a body.; wet leaves denigrating in a pile.; slugs digging through mulch.
OpenBookQA,OpenBookQA,A full moon and a crescent moon occur normally?,every two fortnights.,every two fortnights.,every week.; yearly.; every evening.
OpenBookQA,OpenBookQA,The moon's gravity?,determines when neap and ebb are on Earth.,determines when neap and ebb are on Earth.,pulls stars into it's orbit.; keeps objects on Earth grounded.; forces the sun to orbit around it.
OpenBookQA,OpenBookQA,The moon has?,raised portions.,raised portions.,water sources.; large diamonds.; rolling grassy hills.
OpenBookQA,OpenBookQA,Chlorophyll allows plants to soak up?,solar rays.,solar rays.,acid rain.; pollen.; fertilizer.
OpenBookQA,OpenBookQA,"If something living requires sustenance, it will likely?",seek out a form of nutrients.,seek out a form of nutrients.,feel like it could eat.; try to enjoy life.; gather nutrients for friends.
OpenBookQA,OpenBookQA,Plants grow because they?,use what people breathe out to survive.,use what people breathe out to survive.,decide the time is right.; can breathe a lot of air.; take photos of other plants.
OpenBookQA,OpenBookQA,Plant lights can be useful in order to?,recreate effects of the sun.,recreate effects of the sun.,dry up several plants.; lower energy costs at home.; give dogs good lighting.
OpenBookQA,OpenBookQA,As a car drives off in the night?,the taillights recede into the dark.,the taillights recede into the dark.,only the bumper is visible.; the taillights get brighter the further they go.; the taillights are turned off.
OpenBookQA,OpenBookQA,A large mill in the area has led to streams and rivers being filled with?,pollutants.,pollutants.,rapids.; boats.; fish.
OpenBookQA,OpenBookQA,What action has a positive impact on the conservation of nonrenewable resources?,turn the nonrenewable into something newly usable.,turn the nonrenewable into something newly usable.,depositing the nonrenewable resources in a landfill.; waste as much of the resources as possible.; start a large bonfire with resources.
OpenBookQA,OpenBookQA,in electricity ceramics are sometimes used to?,slow transfers.,slow transfers.,increase voltage.; decrease wattage.; multiply amperage.
OpenBookQA,OpenBookQA,A rabbit has thicker fur in?,January.,January.,April.; July.; October.
OpenBookQA,OpenBookQA,A tape measure aids in?,formulating the area of a room.,formulating the area of a room.,deciding what color to paint a room.; figuring the state of matter of an object.; determining mass of an object.
OpenBookQA,OpenBookQA,What happens when someone on top of a bicycle starts pushing it's peddles in a circular motion?,the bike accelerates.,the bike accelerates.,the bike wheelies.; the bike turns.; the bike brakes.
OpenBookQA,OpenBookQA,If a mosquito dies and is sucked into mud?,years later it can still be seen.,years later it can still be seen.,it will be eaten.; it will be disintegrated.; it will be decayed.
OpenBookQA,OpenBookQA,trees have chlorophyll so they make their own?,nutrients.,nutrients.,root structure.; water.; scheduled.
OpenBookQA,OpenBookQA,What kept the bat on course?,reflected sound waves.,reflected sound waves.,luck.; magic.; snow.
OpenBookQA,OpenBookQA,Things people eat come from?,farms.,farms.,mountains.; canyons.; cities.
OpenBookQA,OpenBookQA,What would you use in an apartment to keep your neighbor below from hearing you shuffle around a room?,carpet.,carpet.,yarn.; wood.; tile.
OpenBookQA,OpenBookQA,"if an adult salmon goes back to where it was born, which of these is likely?",it wants to deposit its offspring.,it wants to deposit its offspring.,it is about to die.; it is looking for its friend.; it is searching for its mother.
OpenBookQA,OpenBookQA,"If the north is cold and the midnorth is warm, there will be?",air motion.,air motion.,snow.; stars.; fires.
OpenBookQA,OpenBookQA,"A guy wants to make dinner for his family, so he puts a pan on the stove, adds some meat, and turns on the stove so that heat is being added to the pan. As the meat is warmed through, beginning to sizzle, it is?",being seared.,being seared.,being juiced.; being frozen.; being smoked.
OpenBookQA,OpenBookQA,What is needed to make an island?,volcano.,volcano.,boat.; coral.; tree.
OpenBookQA,OpenBookQA,It would be harder to grow a palm tree in?,Idaho.,Idaho.,Texas.; Arizona.; South Carolina.
OpenBookQA,OpenBookQA,A moth?,needs a chrysalis as part if its life cycle.,needs a chrysalis as part if its life cycle.,builds a cocoon as part of its death ritual.; undergoes complete metamorphosis in one day.; is born with wings.
OpenBookQA,OpenBookQA,glucose is easily soluble in?,H2O.,H2O.,wood.; alcohol.; sand.
OpenBookQA,OpenBookQA,What time of day does a solar panel work best?,1:45 pm.,1:45 pm.,9:15 pm.; 8 am.; 5:30 pm.
OpenBookQA,OpenBookQA,Sediment built up around the shed due to:?,tornado.,tornado.,magic.; luck.; cars.
OpenBookQA,OpenBookQA,Two gears grinding against each other will raise which of their properties?,temperature.,temperature.,phase.; taste.; mass.
OpenBookQA,OpenBookQA,electrical current does what to a wire to cause it to heat up?,traverse it.,traverse it.,carry it.; merge with it.; run from it.
OpenBookQA,OpenBookQA,"if the surface of our planet is different after a while, what could have happened?",all of these.,all of these.,the surface eroded on its own.; there were natural occurrences.; man has damaged the surface.
OpenBookQA,OpenBookQA,Sunlight is a source of?,warmth.,warmth.,wind energy.; frigid temperatures.; moonlight.
OpenBookQA,OpenBookQA,What contributes to prey animals being able to survive predators long enough to mate?,hiding in bushes.,hiding in bushes.,eating sweets.; how they're named.; listening to music.
OpenBookQA,OpenBookQA,Peat is derived from?,compressing of deteriorating foliage.,compressing of deteriorating foliage.,saplings and flowering seedlings.; compaction of water and soil.; floating debris in swamp water.
OpenBookQA,OpenBookQA,which of these scenarios would result in the ugliest TV screen?,a bowl of quartz is emptied on it.,a bowl of quartz is emptied on it.,a handkerchief drops on it.; a bowl of cotton is emptied on it.; a silk tie falls on it.
OpenBookQA,OpenBookQA,Which of the following is true?,Liquid water will turn to water vapor when the temperature is more than its boiling point.,Liquid water will turn to water vapor when the temperature is more than its boiling point.,Ice will turn to water vapor when it stays under its boiling point.; Liquid water will turn to ice below its freezing point.; Ice will turn to liquid water below its freezing point.
OpenBookQA,OpenBookQA,A bear hibernates through cold weather because?,resources are scarce in winter.,resources are scarce in winter.,bears get very tired.; it is gestating young.; winter is too cold.
OpenBookQA,OpenBookQA,Which shows a way to preserve natural resources:?,run dishwasher full.,run dishwasher full.,using gasoline engines.; tossing lawn clippings.; throwing out aluminum.
OpenBookQA,OpenBookQA,A canyon is created by a strong force such as?,rapids crashing.,rapids crashing.,water dripping.; thunder rusting.; lightening striking.
OpenBookQA,OpenBookQA,A jellyfish's abilities exclude?,sense light.,sense light.,sting.; poison.; move.
OpenBookQA,OpenBookQA,In order to grow a rosebush needs a specific?,climate.,climate.,gardener.; house.; fertilizer.
OpenBookQA,OpenBookQA,From which distance will an object look the biggest?,4 feet.,4 feet.,30 feet.; 1 kilometer.; 1 mile.
OpenBookQA,OpenBookQA,Which does not support living things and is not a home to living things?,carpet.,carpet.,field.; forest.; grassland.
OpenBookQA,OpenBookQA,The Grand Canyon became so deep and large because?,rushing water eroded it.,rushing water eroded it.,water sources are there.; rivers are around it.; water is really strong.
OpenBookQA,OpenBookQA,Heat can can cause matter to?,shift phases.,shift phases.,become intelligent.; multiply.; disappear.
OpenBookQA,OpenBookQA,A chipmunk that gathers many different items can often store what for later usage and help with plant dispersal.?,uneaten pits.,uneaten pits.,hair balls.; water.; small leaves.
OpenBookQA,OpenBookQA,A young boy decides that he likes dogs better than he likes cats. A reason for this may be that?,his parents only have dogs.,his parents only have dogs.,his dogs are cats.; his parents hate dogs.; his parents are cats.
OpenBookQA,OpenBookQA,A girl is turning sixteen and is experiencing changes to her breasts and other areas as she matures. These changes as she enters adulthood signify?,procreative adjustments.,procreative adjustments.,cohesive ability.; coherent reduction.; reductive properties.
OpenBookQA,OpenBookQA,"When you heat liquids, what happens to it's ability to break down solids?",it enhances it.,it enhances it.,nothing significant.; it lessens it.; it stops.
OpenBookQA,OpenBookQA,If you wanted to be outside in the daylight for the longest period when would be worst?,January.,January.,June.; April.; August.
OpenBookQA,OpenBookQA,A rock may be used as a shelter by a?,spider.,spider.,chicken.; giant squid.; deer.
OpenBookQA,OpenBookQA,What season includes the last month of the year in the southern hemisphere?,summer.,summer.,winter.; spring.; fall.
OpenBookQA,OpenBookQA,Absorbing sunlight?,makes the asphalt scorching to bare feet.,makes the asphalt scorching to bare feet.,leaves objects too frosty to handle.; makes car hoods cool to the touch.; leaves surfaces and objects unaffected.
OpenBookQA,OpenBookQA,An anemometer would get a work out on a?,blustery day.,blustery day.,still afternoon.; cloudy day.; rainy day.
OpenBookQA,OpenBookQA,What heavenly object is closer to the planet where the TV was invented?,Moon.,Moon.,Jupiter.; Sun.; Saturn.
OpenBookQA,OpenBookQA,"A litter of healthy cubs are born to a lioness, and eventually one of the cubs has a cut on its paw. It is reasonable to assume?",the cut paw was acquired.,the cut paw was acquired.,the lioness has a cut paw.; the cut paw was inherited.; all cubs will have cut paws.
OpenBookQA,OpenBookQA,careless handling of chemicals can lead to one of the following?,Chemical splashing accidents.,Chemical splashing accidents.,chemical composition making.; chemical modifications accidents.; chemical formation making.
OpenBookQA,OpenBookQA,Which is a function of the skeletal system?,Chewing.,Chewing.,Digestion.; Breathing.; Thinking.
OpenBookQA,OpenBookQA,What season is December in the southern hemisphere?,when the weather gets hot and dry.,when the weather gets hot and dry.,when snow starts to fall.; when the flowers start to bloom.; when the trees change colors.
OpenBookQA,OpenBookQA,If someone is allergic to sunlight then the place they need to avoid is?,gazebo.,gazebo.,libraries.; buildings.; underwater.
OpenBookQA,OpenBookQA,"After spring ends, the next time it will be spring is?",next year.,next year.,next month.; next decade.; next week.
OpenBookQA,OpenBookQA,A scale is necessary to determine?,BMI.,BMI.,CNA.; DNA.; XFL.
OpenBookQA,OpenBookQA,A plant's stem?,acts as the subway delivering it's water and nutrient passengers to the rest of the plant.,acts as the subway delivering it's water and nutrient passengers to the rest of the plant.,supplies only the roots with water and nutrients.; supplies carbon dioxide through the root system.; acts as the lungs for the plant.
OpenBookQA,OpenBookQA,"In a bowl of water with the sun shining on it, what happens to the water after four hours?",there is less water.,there is less water.,the water is growing algae.; the water is dirty.; there is more water.
OpenBookQA,OpenBookQA,A stone may experience the most weathering over?,a century.,a century.,a week.; a year.; a decade.
OpenBookQA,OpenBookQA,Brackish water is often found where?,several large rivers meet.,several large rivers meet.,a sea is large.; the ocean is deep.; a river cuts through a canyon.
OpenBookQA,OpenBookQA,A wooden floor will be easier to slide a chair over than a carpeted floor will be because a wooden floor?,has less roughness.,has less roughness.,has dry friction.; has enormous friction.; has more texture.
OpenBookQA,OpenBookQA,The cell membrane keeps a cell from?,falling apart.,falling apart.,replicating.; getting lost.; running away.
OpenBookQA,OpenBookQA,"A bear that ate a watermelon will also travel during the day to several areas of the surrounding forest, which can cause?",dispersal of seed.,dispersal of seed.,food for young.; bears.; seed production.
OpenBookQA,OpenBookQA,White blood cells?,take action against agents of disease.,take action against agents of disease.,act as transporters of nutrients.; act as transporters of neurons.; defend the body from sunlight.
OpenBookQA,OpenBookQA,"If a lawnmower runs over an anthill, the colony's population probably?",decreases.,decreases.,stagnates.; increases.; doubles.
OpenBookQA,OpenBookQA,"Eating certain foods can add fiber into a diet which helps the body to stay regular, such as when eating?",broccoli.,broccoli.,multivitamins.; fish.; crackers.
OpenBookQA,OpenBookQA,"Some creatures can bring in prey by providing a source of light, such as?",Lophiiformes.,Lophiiformes.,giant squid.; sharks.; crawfish.
OpenBookQA,OpenBookQA,AIDS destroys the body by helping?,pathogens.,pathogens.,antigens.; organs.; bone.
